219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115  = 66
123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123  = 1
37 21 21 21 0 21 21 24 25 42  = 102
244 24 25 244 25 244 25 244 25 0  = 10
93 148  = 249
244 244 0 24 25 42 21 244 244 0 24 25 21 244 24 25 42  = 1
24 25 244 21 244 21 0 24 25 21 244 244 21 0 24 25 42  = 1
219 150 121 114 115  = 241
42  = 328
105 105 105 105 105 105 105 105 105 121  = 8
257  = 180
150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150  = 122
215 215 215 215 215 215 215 215 215 215  = 186
274 274 274 274 274 274 274 274  = 32
24 25 24 25 42  = 6
244 24 25 21 25 244 25 244 24 25 21 25 244 25 37 21 24 25 21 25 21 25 21 42 42  = 14
150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150  = 201
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 294
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 34
79 76 103 123 123 106  = 166
244 24 25 21 25 244 25 244 24 25 21 25 244 25 37 21 24 25 21 25 21 25 21 42 42 37 21 24 25 21 25 21 25 21 42 42  = 9
219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115  = 70
244 24 25 21 25 244 25 244 24 25 21 25 244 25  = 83
71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 343
24 25 42 21 24 25 21 24 25 42 21  = 4
215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215  = 71
150 274 274  = 123
274 274 274 274 274 274 274 274 274 274 274  = 14
244 24 25 21 25 244 25 21 25  = 58
79 76 71 123  = 127
71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 138
113  = 147
150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150  = 166
235  = 107
37 21 21 21 21 42 42  = 23
150 150 150 150 150 150 150 150 150 150 150 150 150 150 150  = 191
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123  = 5
244 0 24 25  = 8
244 24 25 21 25 244 25 37 21 24 25 21 25 21 25 21 42 37 21 24 25 21 25 21 25 21 42 42 37 21 24 25 21 25 21 25 21 42 42  = 18
292  = 30
244 24 25 42 21 21 24 25 21 24 25 42  = 1
37 21 21 21 42  = 60
219 150 121 114 115 219 121 114 115 219 150 121 114 115  = 11
244 24 25 42 24 25  = 6
244 24 25 21 25 244 25 37 21 24 25 21 25 21 25 21 42 42 37 21 24 25 21 25 21 25 21 42 42 37 21 24 25 21 25 21 25 21 42 42 37 21 24 25 21 25 21 25 21 42 42  = 3
150 274 150  = 13
154 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123  = 1
215 215 215 215 215 215 215 215 215 215 215  = 103
71 71 71 71 71 71  = 61
215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215  = 12
304  = 325
73 73 73  = 23
37 21 24 25 21 25 21 25 0 21 25 0 50 26  = 12
244 0 244 244  = 5
71 71 71 71 71 71 71 71 71  = 20
37 21 21 21  = 151
215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215  = 24
37 21 24 25 21 25 21 25 0  = 10
244 24 25 21 25 244 25 21 25 0 37 21 24 25 21 25 21 25 21 25 21 25 0 21 42 21 24 25  = 1
71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 21
195  = 92
224  = 120
24 25 42 21 244 0 24 25 21 24 25 42  = 1
215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215 215  = 22
244 24 25 42 244 24 25 244  = 1
241  = 53
46  = 109
244 24 25 42  = 36
37 21 21 21 21 0 42  = 3
274 274 274 274 274 274 274 274 274 274  = 12
244 24 25 244 25 244 24 25  = 45
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 44
0 244 244  = 24
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 77
244 24 25 21 25 244 25 244 24 25 21 25 244 25 21 25 244 24 25 21 25 244 25 21 25 244 24 25 21 25 244 25 244 24 25 21 25 244 25  = 1
219 150 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115  = 11
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 95
244 24 25 21 25 244 25 37 21 24 25 21 25 21 25 21 42 42 37 21 24 25 21 25 21 25 21 42 42  = 10
